Operateur;2G;3G;4G;city
Orange;1;1;0;ouessant
SFR;1;1;0;ouessant
Bouygue;1;1;1;ouessant
Orange;0;1;1;île-molène
Orange;1;1;0;île-de-sein
Orange;1;1;0;conquet
Bouygue;1;1;0;porspoder
Orange;1;1;0;porspoder
SFR;1;1;1;conquet
Orange;1;1;1;plouarzel
Orange;1;1;1;plogoff
Bouygue;1;1;1;plougonvelin
Free;0;1;1;plougonvelin
Orange;1;1;1;plougonvelin
SFR;1;1;0;plougonvelin
Bouygue;1;1;1;plouarzel
Free;0;1;1;plouarzel
Free;0;1;1;porspoder
SFR;1;1;0;porspoder
Bouygue;1;1;0;ploumoguer
Orange;1;1;1;ploumoguer
Bouygue;1;1;0;plogoff
SFR;1;1;0;plogoff
Free;0;1;1;plogoff
SFR;1;1;0;landunvez
SFR;1;1;0;plouarzel
Bouygue;1;1;0;ploudalmézeau
SFR;1;1;1;locmaria-plouzané
Free;0;1;1;locmaria-plouzané
SFR;1;1;0;ploudalmézeau
Free;0;1;0;ploudalmézeau
Orange;1;1;1;ploudalmézeau
Orange;1;1;1;locmaria-plouzané
Orange;0;1;1;plouzané
SFR;0;1;0;saint-renan
Orange;0;1;1;saint-renan
SFR;1;1;1;plouzané
Bouygue;1;1;1;plouzané
SFR;1;1;0;lanrivoaré
SFR;1;1;0;audierne
Bouygue;1;1;1;saint-renan
Free;0;1;1;saint-renan
Free;0;1;1;plouzané
Bouygue;1;1;1;camaret-sur-mer
Orange;1;1;0;camaret-sur-mer
SFR;1;1;0;camaret-sur-mer
Free;0;1;0;camaret-sur-mer
SFR;1;1;0;saint-pabu
Bouygue;1;1;0;saint-pabu
Free;0;1;0;plouguin
Bouygue;1;1;1;plouguin
Orange;1;1;0;crozon
Orange;1;1;1;plouhinec
SFR;0;1;0;plouhinec
Bouygue;1;1;0;plouhinec
Free;0;1;1;plouhinec
SFR;1;1;0;milizac
Bouygue;1;1;1;guilers
Orange;1;1;1;guilers
Bouygue;1;1;1;milizac
Free;0;1;1;guilers
Orange;1;1;0;brest
Orange;1;1;0;milizac
SFR;1;1;0;guilers
Orange;1;1;0;landéda
Bouygue;1;0;0;landéda
SFR;1;1;1;brest
